
year,mm-dd,location,parameter,unit,datatype,value
2015,9-8,LWG,outflow,kcfs,Outflow,21.675
2015,9-9,LWG,outflow,kcfs,Outflow,21.896
2015,9-10,LWG,outflow,kcfs,Outflow,18.250
2015,9-11,LWG,outflow,kcfs,Outflow,20.483
2015,9-12,LWG,outflow,kcfs,Outflow,19.725
2015,9-13,LWG,outflow,kcfs,Outflow,16.625
2015,9-14,LWG,outflow,kcfs,Outflow,22.275
2015,9-15,LWG,outflow,kcfs,Outflow,21.558
2015,9-16,LWG,outflow,kcfs,Outflow,23.133
2015,9-17,LWG,outflow,kcfs,Outflow,17.975
2015,9-18,LWG,outflow,kcfs,Outflow,21.875
2015,9-19,LWG,outflow,kcfs,Outflow,19.704
2015,9-20,LWG,outflow,kcfs,Outflow,17.096
2015,9-21,LWG,outflow,kcfs,Outflow,19.663
2015,9-22,LWG,outflow,kcfs,Outflow,18.942
2015,9-23,LWG,outflow,kcfs,Outflow,19.404
2015,9-24,LWG,outflow,kcfs,Outflow,19.733
2015,9-25,LWG,outflow,kcfs,Outflow,16.238
2015,9-26,LWG,outflow,kcfs,Outflow,16.642
2015,9-27,LWG,outflow,kcfs,Outflow,18.050
2015,9-28,LWG,outflow,kcfs,Outflow,18.196
2015,9-29,LWG,outflow,kcfs,Outflow,17.792
2015,9-30,LWG,outflow,kcfs,Outflow,16.088
2015,10-1,LWG,outflow,kcfs,Outflow,16.475
2015,10-2,LWG,outflow,kcfs,Outflow,14.613
2015,10-3,LWG,outflow,kcfs,Outflow,13.854
2015,10-4,LWG,outflow,kcfs,Outflow,15.329
2015,10-5,LWG,outflow,kcfs,Outflow,16.300
2015,10-6,LWG,outflow,kcfs,Outflow,16.154
2015,10-7,LWG,outflow,kcfs,Outflow,18.350
2015,10-8,LWG,outflow,kcfs,Outflow,19.667
2015,10-9,LWG,outflow,kcfs,Outflow,18.204
2015,10-10,LWG,outflow,kcfs,Outflow,14.983
2015,10-11,LWG,outflow,kcfs,Outflow,16.383
2015,10-12,LWG,outflow,kcfs,Outflow,15.775
2015,10-13,LWG,outflow,kcfs,Outflow,15.042
2015,10-14,LWG,outflow,kcfs,Outflow,22.542
2015,10-15,LWG,outflow,kcfs,Outflow,14.458
2015,10-16,LWG,outflow,kcfs,Outflow,14.517
2015,10-17,LWG,outflow,kcfs,Outflow,15.225
2015,10-18,LWG,outflow,kcfs,Outflow,12.842
2015,10-19,LWG,outflow,kcfs,Outflow,13.846
2015,10-20,LWG,outflow,kcfs,Outflow,18.275
2015,10-21,LWG,outflow,kcfs,Outflow,17.133
2015,10-22,LWG,outflow,kcfs,Outflow,15.963
2015,10-23,LWG,outflow,kcfs,Outflow,17.375
2015,10-24,LWG,outflow,kcfs,Outflow,18.154
2015,10-25,LWG,outflow,kcfs,Outflow,16.796
2015,10-26,LWG,outflow,kcfs,Outflow,17.075
2015,10-27,LWG,outflow,kcfs,Outflow,18.392
2015,10-28,LWG,outflow,kcfs,Outflow,17.463
2015,10-29,LWG,outflow,kcfs,Outflow,13.908
2015,10-30,LWG,outflow,kcfs,Outflow,16.596
2015,10-31,LWG,outflow,kcfs,Outflow,16.525
2015,11-1,LWG,outflow,kcfs,Outflow,18.024
2015,11-2,LWG,outflow,kcfs,Outflow,26.613
2015,11-3,LWG,outflow,kcfs,Outflow,21.867
2015,11-4,LWG,outflow,kcfs,Outflow,21.267
2015,11-5,LWG,outflow,kcfs,Outflow,20.983
2015,11-6,LWG,outflow,kcfs,Outflow,20.588
2015,11-7,LWG,outflow,kcfs,Outflow,19.329
2015,11-8,LWG,outflow,kcfs,Outflow,13.629
2015,11-9,LWG,outflow,kcfs,Outflow,20.938
2015,11-10,LWG,outflow,kcfs,Outflow,18.258
2015,11-11,LWG,outflow,kcfs,Outflow,19.521
2015,11-12,LWG,outflow,kcfs,Outflow,19.983
2015,11-13,LWG,outflow,kcfs,Outflow,15.413
2015,11-14,LWG,outflow,kcfs,Outflow,23.683
2015,11-15,LWG,outflow,kcfs,Outflow,17.725
2015,11-16,LWG,outflow,kcfs,Outflow,18.450
2015,11-17,LWG,outflow,kcfs,Outflow,14.979
2015,11-18,LWG,outflow,kcfs,Outflow,18.779
2015,11-19,LWG,outflow,kcfs,Outflow,19.275
2015,11-20,LWG,outflow,kcfs,Outflow,19.779
2015,11-21,LWG,outflow,kcfs,Outflow,21.329
2015,11-22,LWG,outflow,kcfs,Outflow,15.233
2015,11-23,LWG,outflow,kcfs,Outflow,18.554
2015,11-24,LWG,outflow,kcfs,Outflow,17.717
2015,11-25,LWG,outflow,kcfs,Outflow,19.250
2015,11-26,LWG,outflow,kcfs,Outflow,15.717
2015,11-27,LWG,outflow,kcfs,Outflow,15.171
2015,11-28,LWG,outflow,kcfs,Outflow,18.046
2015,11-29,LWG,outflow,kcfs,Outflow,18.229
2015,11-30,LWG,outflow,kcfs,Outflow,14.558
2015,12-1,LWG,outflow,kcfs,Outflow,13.446
2015,12-2,LWG,outflow,kcfs,Outflow,14.225
2015,12-3,LWG,outflow,kcfs,Outflow,12.725
2015,12-4,LWG,outflow,kcfs,Outflow,15.300
2015,12-5,LWG,outflow,kcfs,Outflow,18.742
2015,12-6,LWG,outflow,kcfs,Outflow,18.671
2015,12-7,LWG,outflow,kcfs,Outflow,18.138
2015,12-8,LWG,outflow,kcfs,Outflow,21.954
2015,12-9,LWG,outflow,kcfs,Outflow,28.271
2015,12-10,LWG,outflow,kcfs,Outflow,28.900
2015,12-11,LWG,outflow,kcfs,Outflow,32.496
2015,12-12,LWG,outflow,kcfs,Outflow,32.567
2015,12-13,LWG,outflow,kcfs,Outflow,22.575
2015,12-14,LWG,outflow,kcfs,Outflow,28.538
2015,12-15,LWG,outflow,kcfs,Outflow,29.204
2015,12-16,LWG,outflow,kcfs,Outflow,24.783
2015,12-17,LWG,outflow,kcfs,Outflow,24.021
2015,12-18,LWG,outflow,kcfs,Outflow,24.408
2015,12-19,LWG,outflow,kcfs,Outflow,21.883
2015,12-20,LWG,outflow,kcfs,Outflow,22.650
2015,12-21,LWG,outflow,kcfs,Outflow,28.538
2015,12-22,LWG,outflow,kcfs,Outflow,25.583
2015,12-23,LWG,outflow,kcfs,Outflow,23.442
2015,12-24,LWG,outflow,kcfs,Outflow,23.025
2015,12-25,LWG,outflow,kcfs,Outflow,23.475
2015,12-26,LWG,outflow,kcfs,Outflow,21.346
2015,12-27,LWG,outflow,kcfs,Outflow,21.946
2015,12-28,LWG,outflow,kcfs,Outflow,24.771
2015,12-29,LWG,outflow,kcfs,Outflow,19.646
2015,12-30,LWG,outflow,kcfs,Outflow,24.129
2015,12-31,LWG,outflow,kcfs,Outflow,21.550
2015,1-1,LWG,spill,kcfs,Spill,0.000
2015,1-2,LWG,spill,kcfs,Spill,0.000
2015,1-3,LWG,spill,kcfs,Spill,0.000
2015,1-4,LWG,spill,kcfs,Spill,0.000
